Name,Address,Operation Hour,Latitude,Longitude
Subway Menara UOA Bangsar,"Jalan Bangsar Utama 1, Unit 1-2-G, Menara UOA Bangsar, Kuala Lumpur, 59000","Monday - Sunday, 8:00 AM - 8:00 PM",3.128099,101.678678
Subway One Utama,"318A One Utama, Lower Ground Floor, New Wing, 1 Utama Shopping Centre, Petaling Jaya, 47800","0800 - 2200 (Sun - Thur),0800 - 2230 (Fri & Sat)",3.151251,101.615116
Subway Jln Pinang,"G9, Wisma UOA II, 19, Jalan Pinang, Kuala Lumpur, 50450","Monday - Saturday, 8:00 AM – 9:00PM,Sunday, 11:30 AM – 6:30PM",3.152705,101.712034
Subway UOA Damansara,"Unit 50-G-5, Ground Floor, Wisma UOA Damansara, No. 50, Jalan Dungun, Kuala Lumpur, 50490","Monday - Saturday, 8:00 AM – 8:30PM,Sunday, Closed",3.151729,101.666006
Subway The Mines,"Lot L1-93, Level 1, Mines Shopping Fair,Jln Dulang, Mines Resort City, Seri Kembangan, 43300","Monday - Sunday, 10:00 AM - 10:00 PM",3.027692,101.718905
Subway Mont Kiara,"E-01-16 ,Block E, Plaza Mont Kiara, 2 Jalan Kiara, Mont Kiara, Kuala Lumpur, 50480","Monday - Sunday, 10:00 AM - 10:00 PM",3.165686,101.651956
Subway Amcorp Mall,"(Canopy Area), Lot KG-05, 18 Jln Persiaran, Ground Floor, Barat, Petaling Jaya, 46050","Monday - Friday, 9:00 AM – 10:00PM,Saturday & Sunday, 10:00 AM – 10:00PM",3.104774,101.647341
Subway Avenue K,"Lot UC-8 & 9, Upper Concourse Level, Avenue K, No. 156, Jalan Ampang, Kuala Lumpur, 50450","Monday - Sunday, 8:00 AM - 10:00 PM",3.159477,101.713515
Subway Center Point,"Lebuh Bandar Utama, Center Point, Lot G104B Gr Floor, Petaling Jaya, 47800","Monday, 8:00 AM – 10:00PM,Tuesday - Wednesday, 8:00 AM – 10:30PM,Thursday, 8:00 AM – 9:00PM,Friday & Saturday, 8:00 AM – 11:00PM,Sunday, 8:00 AM – 10:30PM",3.136096,101.607964
Subway Shell Sunway Mentari,"1, Jalan PJS 8/9 (Shell) Bandar Sunway, 46000 Selangor","Monday - Sunday, Open 24 Hours",3.079525,101.609623
Subway Berjaya Times Square,"Lot 03-103, 3rd Floor, Berjaya Times Square, No. 1, Jalan Imbi, Kuala Lumpur, 55100","Monday - Sunday, 10:00 AM - 10:00 PM",3.142198,101.710551
Subway Capsquare,"Ground Floor, Unit 01-02, Cap Square Tower, 10 Jalan Munshi Abdullah, Kuala Lumpur, 50100","Monday - Saturday, 8:00 AM – 9:00PM,Sunday, Closed",3.154416,101.698823
Subway Aeon AU2,"Aeon AU2 Shopping Center, 6, Jln 37/36 Taman Setiawangsa, Lot G49, Taman Keramat, Kuala Lumpur, 54200","Monday - Sunday, 10:00 AM - 10:00 PM",3.177185,101.750558
Subway Lotus Setia Alam (LSA),"G14 Grd Floor Tesco Setia Alam, No.2 Jalan Setia Prima, U13/3 Seksyen 13, Shah Alam, 40170","Monday - Sunday, 10:00 AM - 10:00 PM",3.099881,101.444419
Subway Aeon Big Subang,"F1-23 AEON BIG, Level 1 No.3 Jalan SS 16/1,Subang Jaya, Selangor 47500","Monday - Sunday, 9:00 AM - 10:00 PM",3.082580,101.588016
Subway University Malaya,"Faculty of Dentistry, Level 1, Block B, University of Malaya, Kuala Lumpur, 50603","Monday - Friday, 6:30 AM – 10:00PM,Saturday & Sunday, 8:00 AM – 3:00PM",3.121723,101.653684
Subway Jade Hills,"No 40-G, Jalan Jade Hills Utama 1/2, Commerce Village, Jade Hills, 43000 Kajang, Selangor.",,2.994114,101.758669
Subway Wangsa Walk,"Wangsa Ave, Bandar Wangsa Maju, #9 Jalan Perdana 1, G-52, Wangsa Walk Mall, Kuala Lumpur, 53300","Monday - Sunday, 9:30 AM - 9:30 PM",3.198582,101.742206
Subway TTDI,"Lvl1, Petronas Svs Station TTDI,Lot29395 & 29396, Pinggir Zaaba, Taman Tun Dr Ismail, Kuala Lumpur, 60000","Monday - Sunday, 8:30 AM - 9:00 PM",3.141958,101.625217
Subway Plaza Shah Alam,"Lot No. G 17, Ground Floor, Plaza Shah Alam, Sekysen 9, Shah Alam, 40100","Monday - Sunday, 9:00 AM – 10:00PM,Wednesday, 9:00 AM – 9:00PM",3.084338,101.523317
Subway Taipan,"7A, Jalan USJ 10/1j, Taipan Business Centre, 47620 Subang Jaya, Selangor","Monday - Sunday, 8:00 AM - 8:00 PM",3.047932,101.586015
Subway Menara Aras Jaya,"LG Floor, Menara Bumiputra Commerce, No 11, Jalan Raja Laut, 50350 Kuala Lumpur","Monday - Friday, 8:00 AM – 9:00PM,Saturday & Sunday, 10:00 AM – 7:00PM",3.155606,101.695688
Subway Petronas Ampang Point,"Petronas Gas Station/C-Store, Lot 36904 TT27423, Jalan Air Kolam Lama, Ampang, 68000","Monday - Sunday, 8:30 AM - 9:00 PM",3.160388,101.756010
Subway Tesco Kepong,"Tesco Kepong Village Mall, Lot No. 14, 1st Floor, No. 3 Jalan 7A/62A Bandar Manjalara, Kuala Lumpur, 52200","Monday - Sunday, 10:15 AM - 9:30 PM",3.194423,101.633699
Subway Jalan Ipoh,"No. 447, Jalan Ipoh, Batu 3, Taman Million, 51200 Kuala Lumpur","Monday - Sunday, 8:00 AM - 10:00 PM",3.178158,101.685121
Subway SS7,"#15G Jalan Plumbum R7/R, Pusat Komersial Seksyen 7, Shah Alam, 40000","Monday - Sunday, 8:00 AM - 9:30 PM",3.067989,101.489526
Subway Selayang Mall,"Selayang Mall, GSW .5A, Ground Floor, Batu Caves, 68100","Monday - Sunday, 9:00 AM - 10:00 PM",3.237131,101.643784
Subway Aeon Bukit Tinggi,"AEON Bukit Tinggi Shopping Ctr, No 1 Persiaran Batu Nilam, 1/KS6 Bandar Bukit Tinggi 2, Klang, 41050","Sunday - Thursday, 10:00 AM – 10:00PM,Friday & Saturday, 8:00 AM – 10:30PM",2.994510,101.444207
Subway AEON BIG Puchong,"AEON BIG Shopping Center, Lot No G04 Ground Floor, Lot 4029 Persiaran Selangor, Puchong Utama, 47100","Monday - Sunday, 10:00 AM - 10:00 PM",2.991741,101.615601
Subway Seksyen 13,"Tadisma Business Park, Seksyen 13, 40100 Shah Alam, Selangor",Monday - Sunday (9:30AM - 10:30PM),3.089032,101.546357
Subway Axis Atrium,"Axis Atrium, Lot No. G-3 Ground Floor, Jalan Cempaka, Taman Cempaka Ampang, 68000","Monday - Sunday, 8:00 AM - 9:00 PM",3.136505,101.747491
Subway Taman Prima Saujana,"G-2A-GB, Jalan Prima Saujana 2/D, Taman Prima Saujana, 43000 Kajang, Selangor","Monday - Sunday, 8:00 AM - 10:00 PM",3.008788,101.804503
Subway Aeon Rawang,"Komplex Beli Belah Aeon Anggun, Rawang, G61, No. 1 Persiaran, Anggun, Taman Anggun, Rawang, 48000","Monday - Sunday, 10:00 AM - 10:00 PM",3.316665,101.536474
Subway Kota Kemuning,"2.27.1 (Ground), 14, Persiaran Anggerik Vanilla, Kota Kemuning Seksyen 31, Shah Alam, 40460","Monday - Sunday, 8:00 AM - 10:00 PM",3.003765,101.538959
Subway Cova Square,"G16, Cova Square Jalan Teknologi Pju5 Kota Damansara 47810 Petaling Jaya Selangor","Monday - Sunday, 8:00 AM - 9:00 PM",3.147444,101.575434
Subway Giant Bandar Kinrara  - Puchong,"Giant Hypermkt Bandar Kinrara, Lot No:G8, Lot 449, Jalan BK 5A/1, Bandar Kinrara, Puchong, 47100","Monday - Sunday, 9:30 AM - 10:00 PM",3.050157,101.646321
